iata_code,icao_code,name
ND2,N262,Aerospatiale (Nord) 262
CRV,S210,Aerospatiale (Sud Aviation) Se.210 Caravelle
NDC,S601,Aerospatiale SN.601 Corvette
AT4,AT43,Aerospatiale/Alenia ATR 42-300
AT5,AT45,Aerospatiale/Alenia ATR 42-500
ATR,AT46,Aerospatiale/Alenia ATR 42-600
AT7,AT72,Aerospatiale/Alenia ATR 72
AB3,A30B,Airbus A300
AB6,A306,Airbus A300-600
ABB,A3ST,Airbus A300-600ST Super Transporter / Beluga
310,A310,Airbus A310
318,A318,Airbus A318
319,A319,Airbus A319
31N,A19N,Airbus A319neo
320,A320,Airbus A320
32N,A20N,Airbus A320neo
321,A321,Airbus A321
32Q,A21N,Airbus A321neo
330,,Airbus A330
332,A332,Airbus A330-200
333,A333,Airbus A330-300
338,A338,Airbus A330-800neo
339,A339,Airbus A330-900neo
340,,Airbus A340
342,A342,Airbus A340-200
343,A343,Airbus A340-300
345,A345,Airbus A340-500
346,A346,Airbus A340-600
350,,Airbus A350
351,A35K,Airbus A350-1000
359,A359,Airbus A350-900
380,,Airbus A380
388,A388,Airbus A380-800
ANF,AN12,Antonov AN-12
A4F,A124,Antonov AN-124 Ruslan
A40,A140,Antonov AN-140
A81,A148,Antonov An-148
A58,A158,Antonov An-158
A25,A225,Antonov An-225 Mriya
AN4,AN24,Antonov AN-24
A26,AN26,Antonov AN-26
A28,AN28,Antonov AN-28
A30,AN30,Antonov AN-30
A32,AN32,Antonov AN-32
AN7,AN72,Antonov AN-72
AR1,RJ1H,Avro RJ100
AR7,RJ70,Avro RJ70
AR8,RJ85,Avro RJ85
146,,BAe 146
141,B461,BAe 146-100
142,B462,BAe 146-200
143,B463,BAe 146-300
BEH,B190,Beechcraft 1900
BH2,B212,Bell 212
703,B703,Boeing 707
717,B712,Boeing 717
B72,B720,Boeing 720B
727,,Boeing 727
721,B721,Boeing 727-100
722,B722,Boeing 727-200
737,,Boeing 737
7MJ,,Boeing 737 MAX 10
7M7,B37M,Boeing 737 MAX 7
7M8,B38M,Boeing 737 MAX 8
7M9,B39M,Boeing 737 MAX 9
732,B732,Boeing 737-200
733,B733,Boeing 737-300
734,B734,Boeing 737-400
735,B735,Boeing 737-500
736,B736,Boeing 737-600
73G,B737,Boeing 737-700
738,B738,Boeing 737-800
739,B739,Boeing 737-900
747,,Boeing 747
74B,BLCF,Boeing 747 LCF Dreamlifter
741,B741,Boeing 747-100
742,B742,Boeing 747-200
743,B743,Boeing 747-300
744,B744,Boeing 747-400
74J,B74D,Boeing 747-400D
748,B748,Boeing 747-8
74L,B74S,Boeing 747SP
74R,B74R,Boeing 747SR
757,,Boeing 757
752,B752,Boeing 757-200
753,B753,Boeing 757-300
767,,Boeing 767
762,B762,Boeing 767-200
763,B763,Boeing 767-300
764,B764,Boeing 767-400
777,,Boeing 777
772,B772,Boeing 777-200
77L,B77L,Boeing 777-200LR
773,B773,Boeing 777-300
77W,B77W,Boeing 777-300ER
778,B778,Boeing 777-8
779,B779,Boeing 777-9
787,,Boeing 787
78J,B78X,Boeing 787-10
788,B788,Boeing 787-8
789,B789,Boeing 787-9
CS1,BCS1,Bombardier CS100
CS3,BCS3,Bombardier CS300
CCX,GLEX,Bombardier Global Express
B11,BA11,British Aerospace (BAC) One Eleven
H25,H25B,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900
ATP,ATP,British Aerospace ATP
J31,JS31,British Aerospace Jetstream 31
J32,JS32,British Aerospace Jetstream 32
J41,JS41,British Aerospace Jetstream 41
CCJ,CL60,Canadair Challenger
CL4,CL44,Canadair CL-44
CR1,CRJ1,Canadair Regional Jet 100
CRK,CRJX,Canadair Regional Jet 1000
CR2,CRJ2,Canadair Regional Jet 200
CR7,CRJ7,Canadair Regional Jet 700
CR9,CRJ9,Canadair Regional Jet 900
CN1,C172,Cessna 172
CNJ,C25B,Cessna Citation CJ3
SSC,CONC,Concorde
D20,F2TH,Dassault Falcon 2000
DF3,FA50,Dassault Falcon 50
