airline_code,airline_id,source_airport_code,source_airport_id,destination_airport_code,destination_airport_id,codeshare,stops,equipment
2B,410,DME,4029,TGK,,,0,CR2
2B,410,TGK,,DME,4029,,0,CR2
2G,1654,IKT,2937,KCK,,,0,AN4
2G,1654,KCK,,IKT,2937,,0,AN4
2O,146,ADQ,3531,AOS,7167,,0,BNI
2O,146,ADQ,3531,KKB,7168,,0,BNI
2O,146,ADQ,3531,KOZ,7164,,0,BNI
2O,146,ADQ,3531,OLH,7163,,0,BNI
2O,146,AOS,7167,KZB,7176,,0,BNI
2O,146,KKB,7168,SYB,7173,,0,BNI
2O,146,KOZ,7164,ORI,7165,,0,BNI
2O,146,SYB,7173,KPR,7172,,0,BNI
3F,16262,CGA,7144,HYL,7145,,0,DHP
3F,16262,CGA,7144,KTN,3808,,0,DHP
3F,16262,HYL,7145,CGA,7144,,0,DHP
3F,16262,HYL,7145,KTB,7147,,0,DHP
3F,16262,HYL,7145,KTN,3808,,0,DHP
3F,16262,KTB,7147,HYL,7145,,0,DHP
3F,16262,KTB,7147,KTN,3808,,0,DHP
3F,16262,KTN,3808,CGA,7144,,0,DHP
3F,16262,KTN,3808,HYL,7145,,0,DHP
3F,16262,KTN,3808,KTB,7147,,0,DHP
3H,,AKV,5506,YIK,5504,,0,DH8
3H,,AKV,5506,YPX,6727,,0,DH8
3H,,XGR,5512,YVP,154,,0,DHT BET
3H,,YGL,62,YGW,5496,,0,DHT
3H,,YGL,62,YPX,6727,,0,73M
3H,,YGL,62,YUL,146,,0,73M
3H,,YGW,5496,YGL,62,,0,DHT
3H,,YGW,5496,YPH,5520,,0,BET
3H,,YGW,5496,YSK,5529,,0,DH8
3H,,YGW,5496,YUD,5515,,0,DH8
3H,,YGW,5496,YUL,146,,0,DH8
3H,,YGW,5496,YUY,149,,0,DH8
3H,,YIK,5504,AKV,5506,,0,DH8
3H,,YIK,5504,YZG,5535,,0,DH8
3H,,YKG,5481,YPJ,5508,,0,DHT DH8
3H,,YKG,5481,YQC,5499,,0,DH8
3H,,YKG,5481,YVP,154,,0,DH8 DHT
3H,,YKL,80,YQB,111,,0,DH8
3H,,YKL,80,YVP,154,,0,DH8 BET
3H,,YKL,80,YWK,161,,0,BET
3H,,YKL,80,YZV,202,,0,BET DH8
3H,,YPH,5520,YPX,6727,,0,DH8 BET
3H,,YPH,5520,YUD,5515,,0,DH8
3H,,YPH,5520,YVP,154,,0,BET
3H,,YPJ,5508,YKG,5481,,0,DHT DH8
3H,,YPJ,5508,YTQ,6728,,0,DHT DH8
3H,,YPJ,5508,YVP,154,,0,DHT
3H,,YPX,6727,AKV,5506,,0,DH8
3H,,YPX,6727,YGL,62,,0,73M
3H,,YPX,6727,YPH,5520,,0,DH8
3H,,YPX,6727,YVP,154,,0,BET
3H,,YQB,111,YKL,80,,0,DH8
3H,,YQB,111,YUL,146,,0,DH8
3H,,YQC,5499,YKG,5481,,0,DH8
3H,,YQC,5499,YWB,7253,,0,DH8
3H,,YSK,5529,YGW,5496,,0,DH8
3H,,YSK,5529,YUD,5515,,0,DH8
3H,,YTQ,6728,YPJ,5508,,0,DHT DH8
3H,,YTQ,6728,YVP,154,,0,DHT DH8
3H,,YUD,5515,YGW,5496,,0,DH8
3H,,YUD,5515,YPH,5520,,0,DH8
3H,,YUD,5515,YSK,5529,,0,DH8
3H,,YUL,146,YGL,62,,0,73M
3H,,YUL,146,YGW,5496,,0,DH8
3H,,YUL,146,YQB,111,,0,DH8
3H,,YUL,146,YUY,149,,0,DH8
3H,,YUY,149,YGW,5496,,0,DH8
3H,,YUY,149,YUL,146,,0,DH8
3H,,YVP,154,XGR,5512,,0,DHT BET
3H,,YVP,154,YGW,5496,,0,BET
3H,,YVP,154,YKG,5481,,0,DH8
3H,,YVP,154,YKL,80,,0,DH8 BET
3H,,YVP,154,YPH,5520,,0,BET
3H,,YVP,154,YPJ,5508,,0,DHT
3H,,YVP,154,YPX,6727,,0,BET
3H,,YVP,154,YTQ,6728,,0,DHT DH8
3H,,YWB,7253,YQC,5499,,0,DH8
3H,,YWB,7253,YZG,5535,,0,DH8
3H,,YWK,161,YKL,80,,0,BET
3H,,YWK,161,YZV,202,,0,BET
3H,,YZG,5535,YIK,5504,,0,DH8
3H,,YZG,5535,YWB,7253,,0,DH8
3H,,YZV,202,YKL,80,,0,BET DH8
3H,,YZV,202,YWK,161,,0,BET
3U,4608,NTG,5475,WUH,3376,,0,319
3U,4608,TVS,8858,TYN,3369,,0,319
3U,4608,TYN,3369,TVS,8858,,0,319
3U,4608,WUH,3376,NTG,5475,,0,319
4E,,MCG,5965,NIB,7214,,0,PAG
