route_id,airline_id,source_airport_id,destination_airport_id,codeshare,stops
1,410,2965,2990,,0
2,410,2966,2990,,0
3,410,2966,2962,,0
4,410,2968,2990,,0
5,410,2968,4078,,0
6,410,4029,2990,,0
7,410,4029,6969,,0
8,410,4029,6160,,0
9,410,6156,2952,,0
10,410,6156,2990,,0
11,410,2922,6969,,0
12,410,2952,6156,,0
13,410,2990,2965,,0
14,410,2990,2966,,0
15,410,2990,2968,,0
16,410,2990,4029,,0
17,410,2990,6156,,0
18,410,2990,2948,,0
19,410,2990,2975,,0
20,410,2948,2990,,0
21,410,2948,6969,,0
22,410,2948,6160,,0
23,410,2962,2966,,0
24,410,6969,4029,,0
25,410,6969,2922,,0
26,410,6969,2948,,0
27,410,6969,2975,,0
28,410,2972,2975,,0
29,410,2972,6160,,0
30,410,4364,2975,,0
31,410,4078,2968,,0
32,410,4078,2975,,0
33,410,2975,2990,,0
34,410,2975,6969,,0
35,410,2975,2972,,0
36,410,2975,4364,,0
37,410,2975,4078,,0
38,410,6160,4029,,0
39,410,6160,2948,,0
40,410,6160,2972,,0
41,1654,2936,2937,,0
42,1654,2936,4078,,0
43,1654,2968,4078,,0
44,1654,2935,2937,,0
45,1654,2937,2936,,0
46,1654,2937,2935,,0
47,1654,2937,8944,,0
48,1654,2937,4078,,0
49,1654,2937,6924,,0
50,1654,2937,9026,,0
51,1654,2937,2923,,0
52,1654,2925,4078,,0
53,1654,8944,2937,,0
54,1654,4078,2936,,0
55,1654,4078,2968,,0
56,1654,4078,2937,,0
57,1654,6924,2937,,0
58,1654,9026,2937,,0
59,1654,2923,2937,,0
60,8359,2786,2789,,0
61,8359,2812,2789,,0
62,8359,2812,2808,,0
63,8359,6067,2789,,0
64,8359,2801,2781,,0
65,8359,2801,2806,,0
66,8359,2789,2786,,0
67,8359,2789,2812,,0
68,8359,2789,6067,,0
69,8359,2789,2781,,0
70,8359,2789,2806,,0
71,8359,2781,2801,,0
72,8359,2781,2789,,0
73,8359,2781,2806,,0
74,8359,2808,2812,,0
75,8359,2806,2801,,0
76,8359,2806,2789,,0
77,8359,2806,2781,,0
78,470,253,247,,0
79,470,253,246,,0
80,470,248,246,,0
81,470,1044,253,,0
82,470,1044,1084,,0
83,470,1044,246,,0
84,470,247,253,,0
85,470,247,246,,0
86,470,245,298,,0
87,470,245,246,,0
88,470,1084,1044,,0
89,470,1084,246,,0
90,470,298,246,,0
91,470,280,246,,0
92,470,246,253,,0
93,470,246,248,,0
94,470,246,1044,,0
95,470,246,247,,0
96,470,246,245,,0
97,470,246,1084,,0
98,470,246,298,,0
99,470,246,280,,0
100,1338,2709,2673,,0
101,1338,2709,2688,,0
102,1338,2715,2673,,0
103,1338,2673,2709,,0
104,1338,2673,2715,,0
105,1338,2673,6045,,0
106,1338,2673,2688,,0
107,1338,2670,2688,,0
108,1338,6045,2673,,0
109,1338,2688,2709,,0
110,1338,2688,2673,,0
111,1338,2688,2670,,0
112,2750,1506,1678,,0
113,2750,1264,1678,,0
114,2750,490,1678,,0
115,2750,1665,1054,,0
116,2750,1197,1678,,0
117,2750,1054,1678,,0
118,2750,4197,1678,,0
119,2750,1056,1665,,0
120,2750,1678,1506,,0
121,2750,1678,1264,,0
122,2750,1678,490,,0
123,2750,1678,1197,,0
124,2750,1678,1054,,0
125,2750,1678,4197,,0
126,3652,730,719,,0
127,3652,737,715,,0
128,3652,737,709,,0
129,3652,737,688,,0
130,3652,737,718,,0
131,3652,737,5595,,0
132,3652,737,719,,0
133,3652,737,442,,0
134,3652,737,722,,0
135,3652,737,448,,0
136,3652,737,664,,0
137,3652,737,746,,0
138,3652,737,729,,0
139,3652,737,711,,0
140,3652,715,737,,0
141,3652,715,718,,0
142,3652,709,737,,0
143,3652,709,688,,0
144,3652,709,711,,0
145,3652,5599,729,,0
146,3652,688,737,,0
147,3652,688,709,,0
148,3652,435,448,,0
149,3652,718,737,,0
150,3652,718,715,,0
151,3652,5595,737,,0
152,3652,719,730,,0
153,3652,719,737,,0
154,3652,442,737,,0
155,3652,442,460,,0
156,3652,722,737,,0
157,3652,644,711,,0
158,3652,448,737,,0
159,3652,448,435,,0
160,3652,460,442,,0
161,3652,664,737,,0
162,3652,746,737,,0
163,3652,729,737,,0
164,3652,729,5599,,0
165,3652,711,737,,0
166,3652,711,644,,0
167,146,3531,7162,,0
168,146,7162,7161,,0
169,897,6019,2397,,0
170,897,4200,2397,,0
171,897,2399,2397,,0
172,897,2400,2397,,0
173,897,6024,2397,,0
174,897,2425,2397,,0
175,897,8076,2397,,0
176,897,2402,2397,Y,0
177,897,2430,2397,,0
178,897,4203,2397,,0
179,897,2397,6019,,0
180,897,2397,4200,,0
181,897,2397,2399,,0
182,897,2397,2400,,0
183,897,2397,6024,,0
184,897,2397,2425,,0
185,897,2397,8076,,0
186,897,2397,2402,Y,0
187,897,2397,2430,,0
188,897,2397,4203,,0
189,897,2397,2426,,0
190,897,2397,4204,,0
191,897,2397,2433,,0
192,897,2397,6026,,0
193,897,2397,6016,,0
194,897,2397,6021,,0
195,897,2397,2404,,0
196,897,2426,2397,,0
197,897,4204,2397,,0
198,897,2433,2397,,0
199,897,6026,2397,,0
200,897,6016,2397,,0
201,897,6021,2397,,0
202,897,2404,2397,,0
203,1729,7376,4214,,0
204,1729,7373,2531,,0
205,1729,7373,2621,,0
206,1729,2531,7373,,0
207,1729,2531,7367,,0
208,1729,2531,2613,,0
209,1729,2535,2564,,0
210,1729,2548,2562,,0
211,1729,2548,7367,,0
212,1729,2538,7380,,0
213,1729,7380,2538,,0
214,1729,7380,2564,,0
215,1729,2560,2613,,0
216,1729,2564,2535,,0
217,1729,2564,7380,,0
218,1729,2564,2613,,0
219,1729,2564,2635,,0
220,1729,2564,2633,,0
221,1729,2564,6039,,0
222,1729,2562,2548,,0
223,1729,2562,4214,,0
224,1729,2562,2613,,0
225,1729,2562,2633,,0
226,1729,7367,2531,,0
227,1729,7367,2548,,0
228,1729,2528,2613,,0
229,1729,4214,7376,,0
230,1729,4214,2562,,0
231,1729,2613,2531,,0
232,1729,2613,2560,,0
233,1729,2613,2564,,0
234,1729,2613,2562,,0
235,1729,2613,2528,,0
236,1729,2613,2619,,0
237,1729,2613,2633,,0
238,1729,2619,2613,,0
239,1729,2621,7373,,0
240,1729,2621,6039,,0
241,1729,2635,2564,,0
242,1729,2635,2633,,0
243,1729,2633,2564,,0
244,1729,2633,2562,,0
245,1729,2633,2613,,0
246,1729,2633,2635,,0
247,1729,6039,2564,,0
248,1729,6039,2621,,0
249,10739,5726,3830,,0
250,10739,5726,3678,,0
251,10739,4042,3830,,0
252,10739,4042,3678,,0
253,10739,3591,3678,,0
254,10739,3830,5726,,0
255,10739,3830,4042,,0
256,10739,3678,5726,,0
257,10739,3678,4042,,0
258,10739,3678,3591,,0
259,16262,3808,7146,,0
260,16262,7146,3808,,0
261,595,248,1084,,0
262,595,248,273,,0
263,595,248,1063,,0
264,595,1218,1050,,0
265,595,1050,1218,,0
266,595,1050,1084,,0
267,595,1050,1059,,0
268,595,4162,5665,,0
269,595,1084,248,,0
270,595,1084,1050,,0
271,595,1084,897,,0
272,595,1084,1059,,0
273,595,1084,273,,0
274,595,1084,5665,,0
275,595,897,1084,,0
276,595,897,273,,0
277,595,1059,1050,,0
278,595,1059,1084,,0
279,595,1059,502,,0
280,595,1059,1063,,0
281,595,502,1059,,0
282,595,273,248,,0
283,595,273,1084,,0
284,595,273,897,,0
285,595,273,1063,,0
286,595,5665,4162,,0
287,595,5665,1084,,0
288,595,1063,248,,0
289,595,1063,1059,,0
290,595,1063,273,,0
291,5521,4119,2188,,0
292,5521,4119,2072,,0
293,5521,4119,5687,,0
294,5521,5687,4059,,0
295,5521,4059,5687,,0
296,3021,3885,3316,,0
297,3021,3999,3316,,0
298,3021,4120,3316,,0
299,3021,3386,3316,,0
300,3021,3077,3316,,0
301,3021,3179,3316,,0
302,3021,3992,2397,,0
303,3021,3992,2276,,0
304,3021,3304,3316,,0
305,3021,2397,3992,,0
306,3021,2397,3316,,0
307,3021,3308,3316,,0
308,3021,3351,3316,,0
309,3021,3034,3316,,0
310,3021,3035,3316,,0
311,3021,3239,3316,,0
312,3021,3205,3316,,0
313,3021,3316,3885,,0
314,3021,3316,3999,,0
315,3021,3316,4120,,0
316,3021,3316,3386,,0
317,3021,3316,3077,,0
318,3021,3316,3179,,0
319,3021,3316,3304,,0
320,3021,3316,2397,,0
321,3021,3316,3308,,0
322,3021,3316,3351,,0
323,3021,3316,3034,,0
324,3021,3316,3035,,0
325,3021,3316,3239,,0
326,3021,3316,3205,,0
327,3021,3316,4302,,0
328,3021,3316,2276,,0
329,3021,4302,3316,,0
330,3021,2276,3992,,0
331,3021,2276,3316,,0
332,2916,1679,1558,,0
333,2916,338,1678,,0
334,2916,345,382,,0
335,2916,1558,1679,,0
336,2916,1558,382,,0
337,2916,1558,346,,0
338,2916,1558,1678,,0
339,2916,382,345,,0
340,2916,382,1558,,0
341,2916,382,342,,0
342,2916,382,1520,,0
343,2916,382,351,,0
344,2916,382,1209,,0
345,2916,3986,1561,,0
346,2916,1609,1678,,0
347,2916,342,382,,0
348,2916,346,1558,,0
349,2916,1561,3986,,0
350,2916,1520,382,,0
351,2916,1612,1678,,0
352,2916,351,382,,0
353,2916,1209,382,,0
354,2916,1678,338,,0
355,2916,1678,1558,,0
356,2916,1678,1609,,0
357,2916,1678,1612,,0
358,20710,3682,6958,,0
359,20710,3682,3754,,0
360,20710,3682,4335,,0
361,20710,3682,5756,,0
362,20710,3682,5759,,0
363,20710,3682,5773,,0
364,20710,1937,3533,,0
365,20710,1943,3533,,0
366,20710,1943,3722,,0
367,20710,3875,3533,,0
368,20710,3875,3793,,0
369,20710,3875,3646,,0
370,20710,3533,1937,,0
371,20710,3533,1943,,0
372,20710,3533,3875,,0
373,20710,3533,1948,,0
374,20710,3533,1941,,0
375,20710,3533,1944,,0
376,20710,3533,3878,,0
377,20710,3533,1930,,0
378,20710,3533,1934,,0
379,20710,3533,3646,,0
380,20710,1948,3533,,0
381,20710,1941,3533,,0
382,20710,1941,1944,,0
383,20710,1944,3533,,0
384,20710,6130,5773,,0
385,20710,3472,3878,,0
386,20710,3472,3646,,0
387,20710,3712,1930,,0
388,20710,3712,3646,,0
389,20710,6958,3682,,0
390,20710,3754,3682,,0
391,20710,3754,3878,,0
392,20710,3878,3533,,0
393,20710,3878,3472,,0
394,20710,3878,3754,,0
395,20710,3878,1930,,0
396,20710,3878,3564,,0
397,20710,3878,3793,,0
398,20710,3878,3698,,0
399,20710,4335,3682,,0
400,20710,1930,3533,,0
401,20710,1930,3712,,0
402,20710,1930,3878,,0
403,20710,1930,3722,,0
404,20710,5756,3682,,0
405,20710,3722,1943,,0
406,20710,3722,1930,,0
407,20710,3722,3646,,0
408,20710,5759,3682,,0
409,20710,3564,3878,,0
410,20710,3564,3646,,0
411,20710,3793,3875,,0
412,20710,3793,3878,,0
413,20710,1934,3533,,0
414,20710,3698,3878,,0
415,20710,3698,3646,,0
416,20710,3646,3875,,0
417,20710,3646,3533,,0
418,20710,3646,3472,,0
419,20710,3646,3712,,0
420,20710,3646,3722,,0
421,20710,3646,3564,,0
422,20710,3646,3698,,0
423,20710,5773,3682,,0
424,20710,5773,6130,,0
425,9818,580,5673,,0
426,9818,580,1080,,0
427,9818,1218,1074,,0
428,9818,1218,5673,,0
429,9818,1218,1080,,0
430,9818,1525,1074,,0
431,9818,1538,1074,,0
432,9818,302,1074,,0
433,9818,302,5673,,0
434,9818,302,1080,,0
435,9818,344,5673,,0
436,9818,1074,1218,,0
437,9818,1074,1525,,0
438,9818,1074,1538,,0
439,9818,1074,302,,0
440,9818,1074,1534,,0
441,9818,1074,502,,0
442,9818,1074,1335,,0
443,9818,1074,1359,,0
444,9818,1074,4317,,0
445,9818,1074,1273,,0
446,9818,1074,1539,,0
447,9818,1534,1074,,0
448,9818,1066,1359,,0
449,9818,502,1074,,0
450,9818,502,1080,,0
451,9818,1335,1074,,0
452,9818,1359,1074,,0
453,9818,1359,1066,,0
454,9818,1359,5673,,0
455,9818,5673,580,,0
456,9818,5673,1218,,0
457,9818,5673,302,,0
458,9818,5673,344,,0
459,9818,5673,1359,,0
460,9818,5673,3998,,0
461,9818,3998,5673,,0
462,9818,4317,1074,,0
463,9818,1273,1074,,0
464,9818,1080,580,,0
465,9818,1080,1218,,0
466,9818,1080,302,,0
467,9818,1080,502,,0
468,9818,1539,1074,,0
469,5002,2895,2844,,0
470,5002,2895,2848,,0
471,5002,2896,2897,,0
472,5002,2897,2895,,0
473,5002,2844,2895,,0
474,5002,2848,2895,,0
475,3545,2966,4029,,0
476,3545,2966,2948,,0
477,3545,2980,4029,,0
478,3545,4029,2966,,0
479,3545,4029,2980,,0
480,3545,4029,6156,,0
481,3545,4029,6149,,0
482,3545,4029,6153,,0
483,3545,4029,6150,,0
484,3545,4029,6485,,0
485,3545,4029,2981,,0
486,3545,4029,1743,,0
487,3545,6156,4029,,0
488,3545,6149,4029,,0
489,3545,6153,4029,,0
490,3545,2948,2966,,0
491,3545,6150,4029,,0
492,3545,6485,4029,,0
493,3545,2981,4029,,0
494,3545,1743,4029,,0
495,11741,2874,2881,,0
496,11741,2774,2878,,0
497,11741,2897,1762,,0
498,11741,2877,2881,,0
499,11741,2877,2899,,0
500,11741,2878,2774,,0
501,11741,2878,2881,,0
502,11741,2878,1762,,0
503,11741,2878,2893,,0
504,11741,2881,2874,,0
505,11741,2881,2877,,0
506,11741,2881,2878,,0
507,11741,2881,6460,,0
508,11741,2881,1762,,0
509,11741,2881,2879,,0
510,11741,2881,2899,,0
511,11741,6460,2881,,0
512,11741,1762,2881,,0
513,11741,1762,2899,,0
514,11741,2879,2881,,0
515,11741,2893,2878,,0
516,11741,2899,2877,,0
517,11741,2899,2881,,0
518,11741,2899,1762,,0
519,4608,6351,3379,,0
520,4608,3370,3393,,0
521,4608,3370,3395,,0
522,4608,3370,2244,,0
523,4608,3375,4380,,0
524,4608,3375,3393,,0
525,4608,3375,3395,,0
526,4608,3375,3386,,0
527,4608,3375,3400,,0
528,4608,3375,3382,,0
529,4608,3375,3399,,0
530,4608,4380,3375,,0
531,4608,4380,3388,,0
532,4608,4380,4108,,0
533,4608,4380,3368,,0
534,4608,3393,3370,,0
535,4608,3393,3375,,0
536,4608,3393,3371,,0
537,4608,3393,3395,,0
538,4608,3393,4109,,0
539,4608,3393,3404,,0
540,4608,3393,6353,,0
541,4608,3393,4120,,0
542,4608,3393,3386,,0
543,4608,3393,3179,,0
544,4608,3393,4085,,0
545,4608,3393,3384,,0
546,4608,3393,3382,,0
547,4608,3393,3378,,0
548,4608,3393,4033,,0
549,4608,3393,4097,,0
550,4608,3393,3387,,0
551,4608,3393,3388,,0
552,4608,3393,3373,,0
553,4608,3393,3364,,0
554,4608,3393,3406,,0
555,4608,3393,6435,,0
556,4608,3393,4302,,0
557,4608,3393,3361,,0
558,4608,3393,4030,,0
559,4608,3393,3374,,0
560,4608,3393,4108,,0
561,4608,3393,2275,,0
562,4608,3393,3368,,0
563,4608,3393,3369,,0
564,4608,3393,3399,,0
565,4608,3393,3376,,0
566,4608,3393,6390,,0
567,4608,3393,3379,,0
568,4608,3393,6366,,0
569,4608,3393,6361,,0
570,4608,3393,6357,,0
571,4608,3371,3393,,0
572,4608,3371,3395,,0
573,4608,3371,3385,,0
574,4608,3371,3382,,0
575,4608,3371,4144,,0
576,4608,3371,6392,,0
577,4608,3371,3383,,0
578,4608,3395,3370,,0
579,4608,3395,3375,,0
580,4608,3395,3393,,0
581,4608,3395,3371,,0
582,4608,3395,9310,,0
583,4608,3395,6434,,0
584,4608,3395,4120,,0
585,4608,3395,8407,,0
586,4608,3395,6345,,0
587,4608,3395,3389,,0
588,4608,3395,3386,,0
589,4608,3395,3077,,0
590,4608,3395,3179,,0
591,4608,3395,3930,,0
592,4608,3395,4085,,0
593,4608,3395,3381,,0
594,4608,3395,8781,,0
595,4608,3395,4301,,0
596,4608,3395,3384,,0
597,4608,3395,3382,,0
598,4608,3395,6379,,0
599,4608,3395,3394,,0
600,4608,3395,3378,,0
601,4608,3395,4033,,0
602,4608,3395,6376,,0
603,4608,3395,4097,,0
604,4608,3395,6402,,0
605,4608,3395,3339,,0
606,4608,3395,3388,,0
607,4608,3395,3373,,0
608,4608,3395,3364,,0
609,4608,3395,3406,,0
610,4608,3395,6435,,0
611,4608,3395,4144,,0
612,4608,3395,6347,,0
613,4608,3395,4030,,0
614,4608,3395,3374,,0
615,4608,3395,3390,,0
616,4608,3395,4108,,0
617,4608,3395,2275,,0
618,4608,3395,3368,,0
619,4608,3395,3369,,0
620,4608,3395,3399,,0
621,4608,3395,6392,,0
622,4608,3395,3376,,0
623,4608,3395,6390,,0
624,4608,3395,6403,,0
625,4608,3395,3396,,0
626,4608,3395,3379,,0
627,4608,3395,3383,,0
628,4608,3395,6366,,0
629,4608,3395,4149,,0
630,4608,3395,6361,,0
631,4608,3395,8876,,0
632,4608,4109,3393,,0
633,4608,4109,3400,,0
634,4608,4109,3383,,0
635,4608,4109,6355,,0
636,4608,6344,3369,,0
637,4608,9310,3395,,0
638,4608,3404,3393,,0
639,4608,3404,3386,,0
640,4608,3404,3400,,0
641,4608,3404,4108,,0
642,4608,3404,4149,,0
643,4608,4308,3378,,0
644,4608,6434,3395,,0
645,4608,6434,4144,,0
646,4608,6353,3393,,0
647,4608,6353,3388,,0
648,4608,3385,3371,,0
