airline_id,name,country_name
-1,Unknown,
1,Private flight,
28,Asiana Airlines,Republic of Korea
34,Afric'air Express,Ivory Coast
38,African Business and Transportations,Democratic Republic of the Congo
47,Aerocenter,AEROCENTER
63,Air Somalia,Somali Republic
68,Air Tindi,Canadian Territories
75,Abicar,Ivory Coast
94,Aerocesar,AEROCESAR
144,Air Afrique Vacancies,Ivory Coast
153,Air Namibia,Namibia
157,Afrique Regional Airways,Ivory Coast
186,Airport Helicopter Basel,AIRPORT HELICOPTER
204,African International Airways,Swaziland
213,Air Bandama,Ivory Coast
252,Air Korea Co. Ltd.,Republic of Korea
259,Anikay Air Company,Kyrgyzstan
292,Alas Nacionales,ALNACIONAL
337,Antares Airtransport,ANTARES
344,Aviacion Del Noroeste,AVINOR
348,Alcon Servicios Aereos,ALCON
356,Astoria,ASTORIA
362,As,COMPANY AS
377,Airpac Airlines,AIRPAC
381,Alpha Aviation,AIRFLIGHT
382,ASA Pesada,ASA PESADA
383,Air Print,AIR PRINT
390,Appalachian Flying Service,APPALACHIAN
391,Airpac,ALASKA PACIFIC
393,Aerolineas Pacifico Atlantico,AEROPERLAS
395,Aeropuma,AEROPUMA
396,Air Plan International,Democratic Republic of the Congo
400,Aeroatlas,ATCO
404,Aviones de Renta de Quintana Roo,AVIOQUINTANA
411,Aires,S.A.
415,Aerojet de Costa Rica,
425,Armstrong Air,ARMSTRONG
431,Air Xpress,AIREX
439,Alaska Airlines,ALASKA
444,Air Schefferville,SCHEFF
446,Aerosun International,AEROSUN
453,All Star Airlines,ALL STAR
454,Air Class,AIR CLASS
467,Atlantis Transportation Services,ATLANTIS CANADA
486,Air Transport Service,Democratic Republic of the Congo
500,Audi Air,AUDI AIR
511,Aurora Aviation,AURORA AIR
513,Aerolineas Uruguayas,AUSA
515,Avianca - Aerovias Nacionales de Colombia,AVIANCA
517,Alamo Aviacion,ALAMO
521,Avia Traffic Company,Kyrgyzstan
523,Aviacion Ejecutiva Mexicana,AVEMEX
