airport_id,name,city,country_name
625,Vagar Airport,Vagar,Faroe Islands
883,Maya-Maya Airport,Brazzaville,Congo (Brazzaville)
884,Owando Airport,Owando,Congo (Kinshasa)
885,Ouesso Airport,Ouesso,Congo (Kinshasa)
886,Pointe Noire Airport,Pointe-noire,Congo (Brazzaville)
887,Matsapha Airport,Manzini,Swaziland
892,RAF Ascension Island,Wide Awake,Saint Helena
1020,Ndjili International Airport,Kinshasa,Congo (Kinshasa)
1021,Ndolo Airport,Kinshasa,Congo (Kinshasa)
1022,Muanda Airport,Muanda,Congo (Kinshasa)
1023,Kitona Base Airport,Kitona Base,Congo (Kinshasa)
1024,Bandundu Airport,Bandoundu,Congo (Kinshasa)
1025,Kikwit Airport,Kikwit,Congo (Kinshasa)
1026,Mbandaka Airport,Mbandaka,Congo (Kinshasa)
1027,Gbadolite Airport,Gbadolite,Congo (Kinshasa)
1028,Gemena Airport,Gemena,Congo (Kinshasa)
1029,Kotakoli Airport,Kotakoli,Congo (Kinshasa)
1030,Lisala Airport,Lisala,Congo (Kinshasa)
1031,Bangoka International Airport,Kisangani,Congo (Kinshasa)
1032,Matari Airport,Isiro,Congo (Kinshasa)
1033,Bunia Airport,Bunia,Congo (Kinshasa)
1034,Buta Zega Airport,Buta Zega,Congo (Kinshasa)
1035,Bukavu Kavumu Airport,Bukavu/kavumu,Congo (Kinshasa)
1036,Goma International Airport,Goma,Congo (Kinshasa)
1037,Kindu Airport,Kindu,Congo (Kinshasa)
1038,Lubumbashi International Airport,Lubumashi,Congo (Kinshasa)
1039,Kolwezi Airport,Kolwezi,Congo (Kinshasa)
1040,Kalemie Airport,Kalemie,Congo (Kinshasa)
1041,Kamina Base Airport,Kamina Base,Congo (Kinshasa)
1042,Kananga Airport,Kananga,Congo (Kinshasa)
1043,Mbuji Mayi Airport,Mbuji-mayi,Congo (Kinshasa)
1102,Amílcar Cabral International Airport,Amilcar Cabral,Cape Verde
1103,Rabil Airport,Boa Vista,Cape Verde
1104,Maio Airport,Maio,Cape Verde
1105,Preguiça Airport,Sao Nocolau Island,Cape Verde
1106,São Pedro Airport,Sao Vicente Island,Cape Verde
1440,Miquelon Airport,Miquelon,Saint Pierre and Miquelon
1441,St Pierre Airport,St.-pierre,Saint Pierre and Miquelon
1968,Hihifo Airport,Wallis,Wallis and Futuna
2174,Jerusalem Airport,Jerusalem,West Bank
2253,Henderson Field,Midway,Midway Islands
2254,Chuuk International Airport,Chuuk,Micronesia
2255,Pohnpei International Airport,Pohnpei,Micronesia
2257,Kosrae International Airport,Kosrae,Micronesia
2258,Yap International Airport,Yap,Micronesia
