route_id,plane_iata_code
78,CRJ
79,CRJ
80,CRJ
83,CRJ
84,CRJ
85,CRJ
90,CRJ
91,CRJ
92,CRJ
93,CRJ
94,CRJ
95,CRJ
98,CRJ
99,CRJ
249,CNC
250,CNC
251,CNC
252,CNC
253,CNC
254,CNC
255,CNC
256,CNC
257,CNC
258,CNC
932,DH8
936,DH8
937,313
938,DH8
940,DH8
942,DH8
943,DH8
944,313
945,313
946,DH8
949,313
950,DH8
951,313
952,313
953,313
954,DH8
957,313
958,313
959,DH8
960,DH8
961,DH8
962,313
1129,CRJ
1130,CRJ
1131,CRJ
1132,CRJ
1133,CRJ
1134,CRJ
1145,CRJ
1146,CRJ
1150,CRJ
1153,CRJ
1154,CRJ
1157,CRJ
1159,CRJ
1161,CRJ
1162,CRJ
1163,CRJ
1164,CRJ
1165,CRJ
1167,CRJ
1169,CRJ
1174,CRJ
1181,CRJ
1187,CRJ
1192,CRJ
1193,CRJ
1194,CRJ
1200,CRJ
1202,CRJ
1207,CRJ
1213,CRJ
1214,CRJ
1216,CRJ
1234,CRJ
1237,CRJ
1241,CRJ
1246,CRJ
1248,CRJ
1254,CRJ
1255,CRJ
1256,CRJ
1263,CRJ
1264,CRJ
1265,CRJ
1268,CRJ
1269,CRJ
1270,CRJ
1271,CRJ
1272,CRJ
1273,CRJ
1274,CRJ
1275,CRJ
1276,CRJ
1277,CRJ
1278,CRJ
1281,CRJ
1282,CRJ
1283,CRJ
1284,CRJ
1285,CRJ
1286,CRJ
1287,CRJ
1288,CRJ
1289,CRJ
1291,CRJ
1292,CRJ
1296,CRJ
1297,CRJ
1299,CRJ
1300,CRJ
1301,CRJ
1311,CRJ
1312,CRJ
1313,CRJ
1314,CRJ
1315,CRJ
1316,CRJ
1317,CRJ
1335,CRJ
1336,CRJ
1338,CRJ
1339,CRJ
1340,CRJ
1341,CRJ
1342,CRJ
1343,CRJ
1348,CRJ
1349,CRJ
1350,CRJ
1352,CRJ
1353,CRJ
1354,CRJ
1355,CRJ
1356,CRJ
1359,CRJ
1361,CRJ
1363,CRJ
1369,CRJ
1370,CRJ
1371,CRJ
1372,CRJ
1373,CRJ
1374,CRJ
1375,CRJ
1377,CRJ
1378,CRJ
1379,CRJ
